domain,merchant_name,merchant_category,country_code,region,readiness_score,protocol_score,data_score,accessibility_score,checkout_score
doto.com.mx,Doto,retail,MX,latam,27,0,35,75,23
buscape.com.br,Buscape,marketplace,BR,latam,27,0,35,75,23
kilimall.com,Kilimall,marketplace,KE,africa,27,0,25,85,23
bash.com,Bash (Takealot Fashion),retail,ZA,africa,27,0,35,75,23
hmizate.ma,Hmizate,retail,MA,africa,27,0,35,75,20
worldpay.com,Worldpay,fintech,US,north_america,27,0,10,100,28
fravega.com,Fravega,retail,AR,latam,27,0,34,75,23
wine.com.br,Wine.com.br,retail,BR,latam,27,0,35,75,20
deliveroo.co.uk,Deliveroo,restaurant,GB,europe,27,0,35,75,20
darktrace.com,Darktrace,saas,GB,europe,27,0,35,75,23
teamviewer.com,TeamViewer,saas,DE,europe,27,0,35,75,20
deliveroo.com,Deliveroo,marketplace,GB,europe,27,0,35,75,20
improbable.io,Improbable,saas,GB,europe,27,0,35,75,20
rakuten.com,Rakuten,marketplace,JP,apac,27,0,35,75,23
smartly.io,Smartly.io,saas,FI,europe,27,0,10,100,28
wise.com,Wise,fintech,GB,europe,27,0,35,75,23
azul.com.br,Azul Airlines,travel,BR,latam,27,0,10,100,28
paddle.com,Paddle,fintech,GB,europe,27,0,10,100,28
neon.com.br,Neon,fintech,BR,latam,27,0,10,100,28
fondeadora.com,Fondeadora,fintech,MX,latam,27,0,10,100,27
empik.com,Empik,retail,PL,europe,27,0,35,75,20
fastspring.com,FastSpring,fintech,US,north_america,27,0,35,75,20
kilimall.co.ke,Kilimall,marketplace,KE,africa,27,0,25,85,23
cowrywise.com,Cowrywise,fintech,NG,africa,27,0,25,85,25
luno.com,Luno,fintech,ZA,africa,27,0,10,100,28
stability.ai,Stability AI,saas,GB,europe,27,0,35,75,23
conekta.com,Conekta,fintech,MX,latam,27,0,10,100,27
nykaa.com,Nykaa,retail,IN,apac,27,0,35,75,20
doctoranytime.com.mx,Doctoralia MX,healthcare,MX,latam,27,0,35,75,23
recargapay.com.br,RecargaPay,fintech,BR,latam,27,0,10,100,28
nequi.com.co,Nequi,fintech,CO,latam,27,0,35,75,23
loft.com.br,Loft,other,BR,latam,27,0,35,75,23
doctoralia.com.br,Doctoralia BR,healthcare,BR,latam,27,0,35,75,23
yoco.com,Yoco,fintech,ZA,africa,27,0,35,75,20
google.com,Google,saas,US,north_america,27,0,15,100,20
grab.com,Grab,marketplace,SG,apac,27,0,35,75,20
culqi.com,Culqi,fintech,PE,latam,27,0,35,75,23
stone.co,Stone,fintech,BR,latam,27,0,35,75,20
lava.xyz,Lava,fintech,US,north_america,27,0,10,100,28
paymob.com,Paymob,fintech,EG,africa,27,0,10,95,35
brubank.com.ar,Brubank,fintech,AR,latam,27,0,10,100,28
premiumtimesng.com,Premium Times,media,NG,africa,27,0,35,75,23
konfio.mx,Konfio,fintech,MX,latam,27,0,10,100,30
privy.io,Privy,saas,US,north_america,27,0,10,100,28
oxxo.com,OXXO,retail,MX,latam,27,0,15,100,23
transak.com,Transak,fintech,IN,apac,27,0,10,100,30
bloom-wild.com,Bloom & Wild,retail,GB,europe,27,0,15,100,20
bitpay.com,BitPay,fintech,US,north_america,27,0,10,100,28
thirdweb.com,thirdweb,saas,US,north_america,27,0,10,100,28
squarespace.com,Squarespace,saas,US,north_america,27,0,35,75,20
saleor.io,Saleor,saas,PL,europe,27,0,35,75,20
elevenlabs.io,ElevenLabs,saas,US,north_america,27,0,35,75,23
tibber.com,Tibber,other,NO,europe,27,0,10,100,30
bux.com,BUX,fintech,NL,europe,27,0,35,75,20
jumbo.com.ar,Jumbo Argentina,retail,AR,latam,27,0,35,75,23
galileo-ft.com,Galileo,fintech,US,north_america,26,0,10,100,25
homecenter.com.co,Homecenter Colombia,retail,CO,latam,26,0,10,100,20
promart.pe,Promart,retail,PE,latam,26,0,10,100,20
mapbox.com,Mapbox,saas,US,north_america,26,0,10,100,23
masoko.com,Masoko (Safaricom),marketplace,KE,africa,26,0,10,100,20
arezzo.com.br,Arezzo,retail,BR,latam,26,0,35,70,23
huma.com,Huma,healthcare,GB,europe,26,0,10,100,23
mirakl.com,Mirakl,marketplace,FR,europe,26,0,10,100,25
contentsquare.com,Contentsquare,saas,FR,europe,26,0,10,100,25
playtomic.io,Playtomic,other,ES,europe,26,0,10,100,20
bitso.com,Bitso,fintech,MX,latam,26,0,10,100,25
mistral.ai,Mistral AI,saas,FR,europe,26,0,10,100,23
cognite.com,Cognite,saas,NO,europe,26,0,10,100,20
ouraring.com,Oura,retail,FI,europe,26,0,10,75,58
ebanx.com,EBANX,fintech,BR,latam,26,0,10,100,23
aboutyou.com,About You,retail,DE,europe,26,0,10,75,57
databricks.com,Databricks,saas,US,north_america,26,0,10,100,25
lider.cl,Lider (Walmart Chile),retail,CL,latam,26,0,35,70,23
pinecone.io,Pinecone,saas,US,north_america,26,0,10,100,20
weaviate.io,Weaviate,saas,NL,europe,26,0,10,100,20
trustly.com,Trustly,fintech,SE,europe,26,0,10,100,25
postman.com,Postman,saas,US,north_america,26,0,10,100,20
vipps.no,Vipps,fintech,NO,europe,26,0,10,100,20
groq.com,Groq,saas,US,north_america,26,0,10,100,23
snowflake.com,Snowflake,saas,US,north_america,26,0,10,100,20
lydia-app.com,Lydia,fintech,FR,europe,26,0,10,100,25
oda.com,Oda,retail,NO,europe,26,0,10,100,25
rohlik.cz,Rohlik,retail,CZ,europe,26,0,10,100,25
c6bank.com.br,C6 Bank,fintech,BR,latam,26,0,10,100,23
ariba.com,SAP Ariba,b2b,US,north_america,26,0,10,100,20
crewai.com,CrewAI,saas,US,north_america,26,0,10,100,20
nubank.com.br,Nubank,fintech,BR,latam,26,0,10,100,23
aboutyou.de,About You,retail,DE,europe,26,0,10,75,57
mediamarkt.com,MediaMarkt,retail,DE,europe,26,0,10,100,20
render.com,Render,api_computing,US,north_america,26,0,10,100,20
catena.xyz,Catena Labs,fintech,US,north_america,26,0,10,100,20
lido.fi,Lido Finance,fintech,US,north_america,26,0,10,100,25
commercetools.com,commercetools,saas,DE,europe,26,0,10,100,20
platzi.com,Platzi,saas,CO,latam,26,0,10,100,25
nowports.com,Nowports,b2b,MX,latam,26,0,10,100,20
mercadopago.com,Mercado Pago,fintech,AR,latam,26,0,10,95,30
addi.com,Addi,fintech,CO,latam,26,0,10,100,23
treinta.co,Treinta,saas,CO,latam,26,0,10,100,20
ulta.com,Ulta Beauty,retail,US,north_america,26,0,10,100,25
storicard.com,Stori,fintech,MX,latam,26,0,10,100,25
fintual.com,Fintual,fintech,CL,latam,26,0,10,100,20
tala.co,Tala,fintech,KE,africa,26,0,10,100,25
llamaindex.ai,LlamaIndex,saas,US,north_america,26,0,10,100,20
cal.com,Cal.com,saas,US,north_america,26,0,10,100,23
