domain,merchant_name,merchant_category,country_code,region,company_size,readiness_score,protocol_score,data_score,accessibility_score,checkout_score,business_model,ucp_status,acp_status,x402_status,mcp_status,ap2_status,nlweb_status,visa_vic_status,mastercard_status,ecommerce_platform,guest_checkout_available,has_captcha,supports_pix,supports_spei,supports_crypto,robots_allows_agents,robots_blocks_all_bots
braintreepayments.com,Braintree,fintech,US,north_america,sme,33,0,35,100,25,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
ovhcloud.com,OVHcloud,saas,FR,europe,sme,33,0,35,100,25,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,true,false,false
bonprix.de,Bonprix,retail,DE,europe,sme,33,0,35,100,25,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,true,false,false,false
morele.net,Morele.net,retail,PL,europe,sme,33,0,35,100,25,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,true,true,false
lunar.app,Lunar,fintech,DK,europe,mid-market,33,0,35,100,30,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,true,false,false
infobae.com,Infobae,media,AR,latam,sme,33,0,35,100,28,content,not_applicable,not_applicable,not_detected,not_detected,not_applicable,not_detected,not_applicable,not_detected,,false,false,true,false,true,false,false
mercadolibre.cl,Mercado Libre Chile,marketplace,CL,latam,sme,33,0,35,100,28,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
target.com,Target,retail,US,north_america,sme,33,0,35,100,28,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
veriff.com,Veriff,saas,EE,europe,sme,33,0,35,100,28,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,false,true,false,false
skyscanner.net,Skyscanner,travel,GB,europe,sme,33,0,35,100,28,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
discovery.co.za,Discovery,healthcare,ZA,africa,sme,33,0,35,100,25,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,true,false,false
vinted.com,Vinted,marketplace,LT,europe,sme,33,0,35,75,63,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,true,true,true,false,false,false,false
showmax.com,Showmax,media,ZA,africa,sme,33,0,35,100,28,content,not_applicable,not_applicable,not_detected,not_detected,not_applicable,not_detected,not_applicable,not_detected,,false,false,true,false,false,false,false
v0.dev,v0 by Vercel,saas,US,north_america,sme,33,0,35,100,28,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,false,true,false,false
gorillas.io,Gorillas,retail,DE,europe,sme,33,0,35,100,25,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,true,false,false
zeepay.com,Zeepay,fintech,GH,africa,startup,33,0,35,100,30,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,true,false,false
paypal.com,PayPal,fintech,US,north_america,sme,33,0,35,75,60,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,true,false,false,true,false,false
remitly.com,Remitly,fintech,US,north_america,sme,33,0,35,100,25,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,true,false,false
skyscanner.com,Skyscanner,travel,GB,europe,sme,33,0,35,100,28,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
underarmour.com,Under Armour,retail,US,north_america,sme,33,0,35,100,25,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
alchemy.com,Alchemy,saas,US,north_america,sme,33,0,35,100,25,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,true,false,false
